StationTime,Attractiveness,Closeness Centrality,Degree Centerality,Betweenness Centrality
11,26.71092813,235.2079665,9,535
51,40.83167868,229.5459426,3,266
870,18.75820021,253.8205724,10,682
887,15.01548813,253.0155809,10,850
1022,25.93872524,241.5004417,13,664
1024,7.26581689,248.8040463,1,162
1029,26.90162329,594.4839224,1,180
1038,20.43173554,576.2008364,2,198
1040,16.85264212,572.2706726,1,180
1041,16.07533917,569.5216644,1,180
1045,8.50695779,556.1888996,1,180
1054,8.50695779,555.4606457,1,180
1059,16.85264212,570.3086,1,180
1066,32.86012913,583.7196069,1,180
1067,33.6803943,585.8863129,1,180
1071,30.71111539,593.1222079,1,180
1253,6.41351732,229.0870223,3,340
1711,14.20679303,255.2680523,3,337
1725,2.72701137,257.2888065,2,272
1742,2.72701137,256.7651859,2,420
1760,5.10739244,258.7528377,3,470
1775,10.66155691,258.0441443,3,590
1776,10.66155691,258.444383,3,442
1819,4.34137231,259.8316767,2,420
1844,5.94028901,245.1642812,2,268
1849,5.94028901,244.9145082,2,268
1852,7.3219906,248.3436213,3,416
1885,2.7738078,241.0144375,1,144
1926,24.07741221,269.7368331,2,163
1927,37.9159422,268.7693387,2,163
1958,7.07360819,261.8223378,1,186
1970,21.00738167,279.4313375,3,210
1998,6.01796773,263.2171547,1,234
2024,15.1447851,277.8920735,3,336
2144,2.0208111,268.1960644,2,274
2149,1.54836592,303.5570062,0,0
2202,29.57261658,233.4279574,10,1777
2222,18.57504926,260.2243922,1,70
2228,28.61851101,269.1199237,2,163
2249,12.90693,305.1068028,3,85
2333,6.38219166,237.3821958,1,142
2426,29.57261658,233.4264528,10,1015
2440,40.21784798,645.0584501,2,211
2450,40.21784798,643.9480133,2,242
2499,43.19283112,650.7565858,2,174
2641,17.12854756,609.7351247,10,673
2682,13.57083777,239.5910321,2,260
2701,13.57083777,239.7129093,2,260
2725,15.22164962,236.0370325,1,144
2759,15.22164962,236.157405,1,144
2773,8.99584401,236.732184,1,104
2774,5.31979388,236.9729291,1,104
2778,2.34155383,236.4703737,1,104
2780,2.18623957,238.4219137,1,104
2786,21.00035711,235.6744102,2,224
2789,2.18623957,238.367746,1,104
2791,4.34986254,236.3740756,1,104
2933,1.62745067,305.1263633,2,153
